sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-03 10:53:10 +0000,2023-02-10 09:17:59 +0000,momentaryLimit,8375.99 s,92.3554 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-10 09:17:59 +0000,2023-02-11 14:12:43 +0000,momentaryLimit,4387.48 s,95.163 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-11 14:12:43 +0000,2023-02-15 12:34:17 +0000,momentaryLimit,5266.83 s,94.3689 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-15 12:34:17 +0000,2023-02-21 19:19:37 +0000,momentaryLimit,7842.46 s,92.642 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-21 19:19:37 +0000,2023-02-27 13:04:18 +0000,momentaryLimit,12178.8 s,90.7276 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-02-27 13:04:18 +0000,2023-03-05 10:12:59 +0000,momentaryLimit,7543.98 s,92.8121 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-05 10:12:59 +0000,2023-03-11 11:35:22 +0000,momentaryLimit,10112.8 s,91.5374 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-11 11:35:22 +0000,2023-03-12 10:35:01 +0000,momentaryLimit,5488.42 s,94.1971 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-12 10:35:01 +0000,2023-03-13 06:58:00 +0000,momentaryLimit,9820.87 s,91.6635 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-15 07:35:47 +0000,2023-03-22 07:39:57 +0000,momentaryLimit,10640.9 s,91.3142 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-22 07:39:57 +0000,2023-03-24 15:43:59 +0000,momentaryLimit,9472.63 s,91.8191 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-24 15:43:59 +0000,2023-03-29 07:56:29 +0000,momentaryLimit,10383.7 s,91.4203 dBASPL
